"","Feature","Coeff","abs_Coeff","scaled","abs_scaled"
"1","B2M",-0.676677019750699,0.676677019750699,-1,1
"2","CAMK2D",0.673910131600621,0.673910131600621,0.995911065295084,0.995911065295084
"3","PIK3IP1",-0.656537970133483,0.656537970133483,-0.970238313066054,0.970238313066054
"4","LGALS2",0.647246304862888,0.647246304862888,0.956506998126442,0.956506998126442
"5","UBE2C",-0.640396884800371,0.640396884800371,-0.946384857337561,0.946384857337561
"6","CBX7",-0.625531632480956,0.625531632480956,-0.924416840269548,0.924416840269548
"7","KALRN",0.588041961986064,0.588041961986064,0.869014234002967,0.869014234002967
"8","MAOB",-0.566259099875252,0.566259099875252,-0.836823304689544,0.836823304689544
"9","FKBP5",-0.527995196948477,0.527995196948477,-0.780276530068955,0.780276530068955
"10","CXCR2P1",0.510207192579408,0.510207192579408,0.753989241081925,0.753989241081925
"11","HSPH1",0.482867062058555,0.482867062058555,0.713585725486071,0.713585725486071
"12","COL6A3",-0.430273371702937,0.430273371702937,-0.635862249114737,0.635862249114737
"13","OAS1",0.423625617506534,0.423625617506534,0.626038132139622,0.626038132139622
"14","`LY86-AS1`",0.407414154543335,0.407414154543335,0.602080671652533,0.602080671652533
"15","BANK1",0.407320581012463,0.407320581012463,0.601942387762079,0.601942387762079
"16","SRPR",-0.365760053399885,0.365760053399885,-0.540523828538818,0.540523828538818
"17","KSR1",-0.362032499495872,0.362032499495872,-0.535015212470569,0.535015212470569
"18","ABCC3",-0.352149676033559,0.352149676033559,-0.520410278101801,0.520410278101801
"19","CA1",-0.346125482100622,0.346125482100622,-0.511507664658305,0.511507664658305
"20","`RP11-162D16.2`",0.323913905605048,0.323913905605048,0.478683176982106,0.478683176982106
"21","RTN1",-0.319414397343773,0.319414397343773,-0.472033759121082,0.472033759121082
"22","MS4A7",0.302885687530913,0.302885687530913,0.447607468098299,0.447607468098299
"23","HRASLS",-0.293817504885373,0.293817504885373,-0.434206417994838,0.434206417994838
"24","GRB10",0.292585555810862,0.292585555810862,0.432385831454209,0.432385831454209
"25","USP28",0.2844644032228,0.2844644032228,0.420384311746839,0.420384311746839
"26","ANK1",-0.283300861015605,0.283300861015605,-0.41866481755207,0.41866481755207
"27","PACSIN2",-0.269268040226861,0.269268040226861,-0.397926976042521,0.397926976042521
"28","HIST1H2BN",-0.264568799026798,0.264568799026798,-0.390982390866872,0.390982390866872
